ID,Model Probability,Model Predicted Label
100206,0.5062102043937146,1
100307,0.4126376341117972,0
100408,0.5153267902855582,1
100610,0.5516540493301281,1
101006,0.5608846003791387,1
101107,0.5052038385831102,1
101309,0.41401051211122014,0
101410,0.601893873862363,1
101915,0.49759347895867817,0
102008,0.4912632410396057,0
102109,0.5038475359442001,1
102311,0.45575876092204975,0
102513,0.5265571759335596,1
102614,0.39857661784381104,0
102715,0.5295533660672174,1
102816,0.4919339574748636,0
103010,0.5097739603839689,1
103111,0.570580393096343,1
103212,0.5573849262628179,1
103414,0.4936752383121121,0
103515,0.3914335811504976,0
103818,0.4601407873890063,0
104012,0.6053133883356472,1
104416,0.49876684778612207,0
104820,0.5369402150261376,1
105014,0.4961045522736804,0
105115,0.44740482965664896,0
105216,0.4501707974300203,0
105620,0.5015614567540853,1
105923,0.4510978435079257,0
106016,0.4924560496252085,0
106319,0.44687512350891195,0
106521,0.5830157880967811,1
106824,0.5780216190590086,1
107018,0.4381499961134935,0
107321,0.472583338321931,0
107422,0.43628122129244823,0
107725,0.47622269462337,0
108020,0.44321529687604305,0
108121,0.41106150580725814,0
108222,0.4022637939257868,0
108323,0.5274603196050268,1
108525,0.5602073407016717,1
108828,0.5456804300292584,1
109123,0.49058528392475076,0
109830,0.5765598861419623,1
110007,0.4540616388030393,0
110411,0.48760217931854133,0
110613,0.5171582310335053,1
111009,0.5307934364292004,1
111211,0.48273419672876255,0
111312,0.5818967644682708,1
111413,0.5683424143095342,1
111514,0.5888365223530313,1
111716,0.49034323910945593,0
112112,0.4577475509741431,0
112314,0.40512678253358725,0
112516,0.4701670815534409,0
112819,0.5290150865033232,1
112920,0.5665507769078484,1
113215,0.5413114520870496,1
113316,0.506599037197987,1
113619,0.4791213673100351,0
113821,0.5398324987413287,1
113922,0.5362476912918698,1
114116,0.40601267654190826,0
114217,0.5702725278204086,1
114318,0.4850249248082169,0
114419,0.4515201033624591,0
114621,0.4051260553905702,0
114823,0.4399415062034721,0
115017,0.5039607401636563,1
115219,0.4679234347377044,0
115320,0.40320053527665417,0
115724,0.46708871671311086,0
115825,0.46339943032465725,0
116221,0.5866708433328681,1
116423,0.5369557145666568,1
116524,0.43942929964414074,0
116726,0.5436965931740062,1
117021,0.5030616469478737,1
117122,0.45373414406766965,0
117324,0.46393238572738,0
117930,0.43245122777013384,0
118023,0.4098608547174549,0
118124,0.49222920919635693,0
118225,0.5148773092596299,1
118528,0.5159544169917113,1
118730,0.3779311753361782,0
118831,0.4019910926478128,0
118932,0.4449284228005345,0
119025,0.46535328217144833,0
119126,0.5111534806512946,1
119732,0.5744691413086161,1
119833,0.4765464785358644,0
120010,0.5800223301195465,1
120111,0.4637385150934676,0
120212,0.5149820558397649,1
120414,0.4968739657069513,0
120515,0.4289357633129373,0
120717,0.46930699202590803,0
121416,0.4694548451763222,0
121618,0.4185364232556789,0
121719,0.5786037924966823,1
121921,0.43993120477928005,0
122317,0.5115374580941252,1
122418,0.5523099047664115,1
122620,0.48830354868627474,0
122822,0.49871183395227964,0
123117,0.4663063455046158,0
123420,0.549718510399549,1
123521,0.6178879436619862,1
123723,0.4836669290177625,0
123824,0.5122366616740822,1
123925,0.48233109871356844,0
124220,0.6191756266966973,1
124422,0.4043604651065133,0
124624,0.5213436120134411,1
124826,0.4680986593642291,0
125222,0.4264907045307763,0
125424,0.5607415825798807,1
125525,0.5450150891555174,1
